Etapa,Epic,ID,Tarea,Descripcion,Duracion,Comienzo,Fin,Predecesores,Coordinacion,Estado
2. Realizacion,Pruebas QAS y Capacitacion Key Users IA,IA-23,Pruebas QAS — funcionales y no funcionales,"Pruebas funcionales e2e en QAS; Pruebas no funcionales (rendimiento, seguridad basica)",3d,04/04/2026,07/04/2026,IA-22,—,Pendiente
2. Realizacion,Pruebas QAS y Capacitacion Key Users IA,IA-24,Pruebas QAS — correccion y estabilizacion,"Correccion errores detectados en QAS; Re-verificacion y estabilizacion",2d,08/04/2026,10/04/2026,IA-23,—,Pendiente
3. Preparacion Final,Preproduccion y Seguridad IA,IA-25,Configuracion ambiente produccion,"Config infra PRD (GKE, Cloud SQL, secrets); Monitoreo y alertas; Backups y DR",2d,13/04/2026,14/04/2026,IA-24,—,Pendiente
3. Preparacion Final,Preproduccion y Seguridad IA,IA-26,Seguridad pre-produccion — filtros avanzados,"Deteccion PII (DNI, CUIT, CBU); Validacion fidelidad respuestas vs documentos; Control tematico",3d,13/04/2026,15/04/2026,"IA-24, IA-13",—,Pendiente
3. Preparacion Final,Preproduccion y Seguridad IA,IA-27,Seguridad pre-produccion — permisos documentales,"Sync permisos OpenText; Filtrado resultados segun permisos; Sync periodica; Pruebas permisos",2d,16/04/2026,17/04/2026,IA-06,Entregable #6,Pendiente
3. Preparacion Final,Preproduccion y Seguridad IA,IA-28,Testing integrado pre-produccion,"Pruebas integracion completa; Seguridad OWASP; Rendimiento bajo carga; Correccion criticos",2d,20/04/2026,21/04/2026,"IA-26, IA-27",—,Pendiente
3. Preparacion Final,Cutover IA a Produccion,IA-29,"Despliegue, migracion y verificacion en produccion","Deploy Helm PRD; Validacion post-despliegue; Migracion VectorDB y PlatformDB; Smoke test",2d,21/04/2026,22/04/2026,IA-28,—,Pendiente
3. Preparacion Final,Pruebas de Aceptacion Pre Go-Live,IA-30,Pruebas de aceptacion con key users y ajustes,"UAT key users CAT y RRHH; Resolucion observaciones criticas",2d,22/04/2026,23/04/2026,IA-29,—,Pendiente
3. Preparacion Final,Capacitacion Usuarios Finales,IA-31,Entrega material definitivo y capacitacion usuarios,"Material soporte funcional y tecnico definitivo; Capacitacion usuarios CAT, RRHH e IT",2d,22/04/2026,23/04/2026,IA-30,—,Pendiente
4. Lanzamiento,Go-Live BC+IA,IA-32,Go-Live componente IA en produccion,"Comunicacion go-live; Activacion accesos usuarios finales; Monitoreo inicial",1d,24/04/2026,24/04/2026,"IA-30, IA-31",Aprobacion banco,Pendiente
5. Soporte y Mejoras,Soporte Post-Go Live BC+IA,IA-33,Monitoreo activo y resolucion incidencias,"Monitoreo rendimiento y calidad respuestas; Resolucion incidencias reportadas por usuarios",3d,24/04/2026,28/04/2026,IA-32,—,Pendiente
5. Soporte y Mejoras,Soporte Post-Go Live BC+IA,IA-34,Soporte continuo y estabilizacion,"Continuacion soporte usuarios; Estabilizacion sistema produccion",3d,29/04/2026,01/05/2026,IA-33,—,Pendiente
5. Soporte y Mejoras,Soporte Post-Go Live BC+IA,IA-35,Ajuste fino RAG con feedback usuarios,"Ajuste fino RAG basado en feedback usuarios reales; Optimizacion parametros produccion",2d,02/05/2026,05/05/2026,IA-34,—,Pendiente
5. Soporte y Mejoras,Soporte Post-Go Live BC+IA,IA-36,Informe cierre y metricas finales,"Informe cierre proyecto; Metricas finales y transferencia conocimiento",2d,06/05/2026,07/05/2026,IA-35,—,Pendiente
