ID,Etapa,Epics,Stories,sub-tarea,Duracion,Story points,Comienzo,Fin,Sprint,Predecesores,Coordinacion,%_completado,Estado,Descripcion
IA-27,3. Preparacion Final,GDOC-208,Preproduccion y Seguridad IA,Seguridad pre-produccion — permisos documentales,2,,16/04/2026,17/04/2026,Sprint 7,IA-06,Depende #6,0%,Pendiente,Sync permisos OpenText; Filtrado resultados segun permisos; Sync periodica; Pruebas permisos
IA-28,3. Preparacion Final,GDOC-208,Preproduccion y Seguridad IA,Testing integrado pre-produccion,2,,23/04/2026,24/04/2026,Sprint 7,"IA-26, IA-27",—,0%,Pendiente,Pruebas integracion completa; Seguridad OWASP; Rendimiento bajo carga; Correccion criticos
IA-29,3. Preparacion Final,GDOC-208,Cutover IA a Produccion,"Despliegue, migracion y verificacion en produccion",2,,27/04/2026,28/04/2026,Sprint 8,IA-28,—,0%,Pendiente,Deploy Helm PRD; Validacion post-despliegue; Migracion VectorDB y PlatformDB; Smoke test
IA-30,3. Preparacion Final,GDOC-208,Pruebas de Aceptacion Pre Go-Live,Pruebas de aceptacion con key users y ajustes,2,,29/04/2026,30/04/2026,Sprint 8,IA-29,—,0%,Pendiente,UAT key users CAT y RRHH; Resolucion observaciones criticas
IA-31,3. Preparacion Final,GDOC-208,Capacitacion Usuarios Finales,Entrega material definitivo y capacitacion usuarios,2,,04/05/2026,05/05/2026,Sprint 8,IA-30,—,0%,Pendiente,"Material soporte funcional y tecnico definitivo; Capacitacion usuarios CAT, RRHH e IT"
IA-32,4. Lanzamiento,GDOC-208,Go-Live BC+IA,Go-Live componente IA en produccion,1,,06/05/2026,06/05/2026,Sprint 8,"IA-30, IA-31",Aprobacion banco,0%,Pendiente,Comunicacion go-live; Activacion accesos usuarios finales; Monitoreo inicial
IA-33,5. Soporte y Mejoras,GDOC-208,Soporte Post-Go Live BC+IA,Monitoreo activo y resolucion incidencias,3,,07/05/2026,11/05/2026,Sprint 8,IA-32,—,0%,Pendiente,Monitoreo rendimiento y calidad respuestas; Resolucion incidencias reportadas por usuarios
IA-34,5. Soporte y Mejoras,GDOC-208,Soporte Post-Go Live BC+IA,Soporte continuo y estabilizacion,3,,12/05/2026,14/05/2026,-,IA-33,—,0%,Pendiente,Continuacion soporte usuarios; Estabilizacion sistema produccion
IA-35,5. Soporte y Mejoras,GDOC-208,Soporte Post-Go Live BC+IA,Ajuste fino RAG con feedback usuarios,2,,15/05/2026,18/05/2026,-,IA-34,—,0%,Pendiente,Ajuste fino RAG basado en feedback usuarios reales; Optimizacion parametros produccion
IA-36,5. Soporte y Mejoras,GDOC-208,Soporte Post-Go Live BC+IA,Informe cierre y metricas finales,2,,19/05/2026,20/05/2026,-,IA-35,—,0%,Pendiente,Informe cierre proyecto; Metricas finales y transferencia conocimiento
,,,,,83,,,,,,,11%,,
